TIME,VP,RHOB,DT,AI, 
0.64124142,2970.7597,2288.6457,336.61424,6799016.2,
0.64134272,2992.033,2292.7254,334.23113,6859962.3,
0.64144401,3008.8843,2295.9534,332.3491,6908258,
0.6415454,3007.8951,2295.7647,332.45842,6905419.4,
0.64164678,3005.9172,2295.3872,332.67716,6899744,
0.6417484,3002.4649,2294.7278,333.05989,6889840.6,
0.64185001,3000.0002,2294.2568,333.3333,6882771,
0.64195014,3022.4828,2298.5312,330.87212,6947367,
0.64205027,3044.9558,2302.8037,328.41199,7011935.5,
0.64215106,3038.0338,2301.4934,329.16101,6992018.5,
0.64225185,3023.8089,2298.7951,330.70873,6951117.1,
0.64235425,3001.2709,2294.4958,333.1981,6886433.9,
0.64245665,2976.5627,2289.7625,335.95798,6815621.7,
0.64256012,2956.0095,2285.7976,338.29696,6756854.6,
0.64266359,2944.927,2283.6541,339.56699,6725194.5,
0.6427664,2954.951,2285.5924,338.41898,6753833.1,
0.64286922,2964.9802,2287.5317,337.27038,6782486.5,
0.64297262,2956.3782,2285.869,338.25458,6757907.7,
0.64307602,2947.7761,2284.2063,339.23879,6733329,
0.6431794,2947.7761,2284.2063,339.23879,6733329,
0.64328278,2947.7761,2284.2063,339.23879,6733329,
0.64338539,2954.9263,2285.5898,338.41846,6753752.1,
0.64348799,2970.7604,2288.6458,336.61416,6799018.1,
0.64358822,3010.682,2296.274,332.18499,6913528.8,
0.64368844,3041.9165,2302.229,328.74013,7003188,
0.64379033,3016.5442,2297.398,331.52864,6930325,
0.64389222,2991.1675,2292.5662,334.31762,6857449.5,
0.64399352,2996.0641,2293.504,333.77097,6871483.7,
0.64409481,3008.8831,2295.9532,332.34922,6908254.7,
0.64419133,3087.6799,2310.7259,324.03733,7135715.9,
0.64428784,3158.5486,2323.9863,316.6011,7340424,
0.64438672,3120.2128,2316.8696,320.5393,7229399.4,
0.64448561,3081.9006,2309.7573,324.47508,7118443,
0.64458124,3125.3909,2317.825,320.01606,7244426.7,
0.64467687,3188.286,2329.4373,313.64816,7426911.8,
0.64477063,3225.7534,2336.2485,310.00854,7536182.2,
0.64486438,3249.4668,2340.5327,307.7428,7605483.6,
0.64495781,3259.2589,2342.2941,306.81825,7634142.6,
0.64505124,3263.3828,2343.0347,306.43051,7646218.5,
0.64514711,3222.3874,2335.606,310.37903,7526530.8,
0.64524298,3178.3104,2327.6131,314.63257,7397877.1,
0.64533909,3173.4698,2326.7263,315.11244,7383795.7,
0.6454352,3171.6963,2326.4011,315.28869,7378638,
0.6455287,3215.7931,2334.4042,311.02376,7507314.2,
0.64562221,3259.8933,2342.408,306.75851,7636000,
0.64571793,3230.122,2337.0255,309.60845,7549015.6,
0.64581365,3184.9512,2328.8279,313.97654,7417203.4,
0.64591092,3151.057,2322.6022,317.36105,7318693.6,
